"","RFID","Date","Weight","stationname"
"185","942 000024457095",2018-02-07,316,"Berrigurra"
"186","942 000024457095",2018-03-02,294,"Berrigurra"
"187","942 000026155400",2017-11-03,300,"Berrigurra"
"188","942 000026155400",2018-02-07,375,"Berrigurra"
"189","942 000026155400",2018-03-02,356,"Berrigurra"
"190","942 000026155424",2017-11-03,262,"Berrigurra"
"191","942 000026155424",2018-02-07,356,"Berrigurra"
"192","942 000026155424",2018-03-02,320,"Berrigurra"
"193","942 000026155439",2018-02-07,314,"Berrigurra"
"194","942 000026155439",2018-03-02,296,"Berrigurra"
"195","942 000026155468",2017-11-03,264,"Berrigurra"
"196","942 000026155468",2018-02-07,332,"Berrigurra"
"197","942 000026155468",2018-03-02,320,"Berrigurra"
"198","942 000026155508",2017-11-03,256,"Berrigurra"
"199","942 000026155508",2018-03-02,318,"Berrigurra"
"200","942 000026155541",2017-11-03,306,"Berrigurra"
"201","942 000026155541",2018-02-07,406,"Berrigurra"
"202","942 000026155541",2018-03-02,380,"Berrigurra"
"203","942 000026155542",2017-11-03,260,"Berrigurra"
"204","942 000026155542",2018-02-07,348,"Berrigurra"
"205","942 000026155542",2018-03-02,340,"Berrigurra"
"206","942 000026155559",2017-11-03,222,"Berrigurra"
"207","942 000026155559",2018-02-07,314,"Berrigurra"
"208","942 000026155559",2018-03-02,296,"Berrigurra"
"209","942 000026155564",2017-11-03,232,"Berrigurra"
"210","942 000026155564",2018-02-07,330,"Berrigurra"
"211","942 000026155564",2018-03-02,310,"Berrigurra"
"212","942 000026155573",2017-11-03,264,"Berrigurra"
"213","942 000026155573",2018-02-07,360,"Berrigurra"
"214","942 000026155573",2018-03-02,336,"Berrigurra"
"215","942 000026155593",2017-11-03,234,"Berrigurra"
"216","942 000026155593",2018-02-07,324,"Berrigurra"
"217","942 000026155593",2018-03-02,330,"Berrigurra"
"218","942 000026155622",2017-11-03,224,"Berrigurra"
"219","942 000026155622",2018-02-07,328,"Berrigurra"
"220","942 000026155622",2018-03-02,300,"Berrigurra"
"221","942 000026155623",2017-11-03,214,"Berrigurra"
"222","942 000026155623",2018-02-07,372,"Berrigurra"
"223","942 000026155623",2018-03-02,364,"Berrigurra"
"224","942 000026155647",2017-11-03,230,"Berrigurra"
"225","942 000026155647",2018-02-07,342,"Berrigurra"
"226","942 000026155647",2018-03-02,322,"Berrigurra"
"227","942 000026155658",2017-11-03,272,"Berrigurra"
"228","942 000026155658",2018-02-07,360,"Berrigurra"
"229","942 000026155658",2018-03-02,340,"Berrigurra"
"230","942 000026155682",2017-11-03,240,"Berrigurra"
"231","942 000026155682",2018-02-07,360,"Berrigurra"
"232","942 000026155682",2018-03-02,346,"Berrigurra"
"233","942 000026155709",2017-11-03,264,"Berrigurra"
"234","942 000026155709",2018-02-07,358,"Berrigurra"
"235","942 000026155709",2018-03-02,344,"Berrigurra"
"236","942 000026155719",2017-11-03,216,"Berrigurra"
"237","942 000026155719",2018-02-07,316,"Berrigurra"
"238","942 000026155719",2018-03-02,294,"Berrigurra"
"239","942 000026155757",2017-11-03,244,"Berrigurra"
"240","942 000026155757",2018-02-07,328,"Berrigurra"
"241","942 000026155757",2018-03-02,316,"Berrigurra"
"242","942 000026155766",2017-11-03,264,"Berrigurra"
"243","942 000026155766",2018-02-07,350,"Berrigurra"
"244","942 000026155766",2018-03-02,334,"Berrigurra"
"245","942 000026155773",2017-11-03,224,"Berrigurra"
"246","942 000026155773",2018-02-07,286,"Berrigurra"
"247","942 000026155773",2018-03-02,292,"Berrigurra"
"248","942 000026155798",2017-11-03,280,"Berrigurra"
"249","942 000026155798",2018-02-07,374,"Berrigurra"
